vertice,pai,nivel
1,22,7
2,0,0
3,1,8
4,7,3
5,2,1
6,15,5
7,5,2
8,40,21
9,11,11
10,9,12
11,14,10
12,16,18
13,12,19
14,3,9
15,4,4
16,19,17
17,34,23
18,28,15
19,18,16
20,10,13
21,29,26
22,6,6
23,17,24
24,56,50
25,46,35
26,52,32
27,69,52
28,20,14
29,23,25
30,39,30
31,25,36
32,70,57
33,41,45
34,8,22
35,38,39
36,44,28
37,33,46
38,42,38
39,36,29
40,13,20
41,49,44
42,31,37
43,71,70
44,21,27
45,47,41
46,68,34
47,35,40
48,45,42
49,48,43
50,27,53
51,32,58
52,30,31
53,63,67
54,55,61
55,66,60
56,58,49
57,85,64
58,61,48
59,54,62
60,64,74
61,37,47
62,86,72
63,89,66
64,62,73
65,63,67
66,51,59
67,65,68
68,26,33
69,24,51
70,84,56
71,67,69
72,83,82
73,78,80
74,77,77
75,95,87
76,50,54
77,92,76
78,87,79
79,75,88
80,79,89
81,80,90
82,100,85
83,73,81
84,76,55
85,59,63
86,43,71
87,74,78
88,73,81
89,57,65
90,74,78
91,90,79
92,60,75
93,75,88
94,64,74
95,82,86
96,81,91
97,100,85
98,88,82
99,72,83
100,99,84
